"Configuracion","Threads","N","Wall_s","CPU_s","PeakWorkingSet_MB","PeakPrivateMemory_MB","CPU_to_Wall"
"Serial","0","100","0,045022","0,015625","3,03","0,43","0,35"
"Serial","0","500","0,08574","0,03125","6,27","4,38","0,36"
"Serial","0","1000","0,379463","0,34375","19,15","15,84","0,91"
"Serial","0","2000","3,696946","3,53125","64,96","61,71","0,96"
"OpenMP","4","100","0,047154","0,015625","3,04","0,43","0,33"
"OpenMP","4","500","0,069492","0,03125","9,14","5,64","0,45"
"OpenMP","4","1000","0,177312","0,390625","22,81","19,99","2,2"
"OpenMP","4","2000","1,193069","4,265625","80,76","77,31","3,58"
"OpenMP","8","100","0,054134","0,046875","3,03","0,43","0,87"
"OpenMP","8","500","0,065148","0,125","9,46","5,77","1,92"
"OpenMP","8","1000","0,152555","0,609375","20,92","20,11","3,99"
"OpenMP","8","2000","0,858713","5,359375","80,94","77,44","6,24"
