"Configuracion","Threads","N","Wall_s","CPU_s","PeakWorkingSet_MB","PeakPrivateMemory_MB","CPU_to_Wall"
"Serial","0","100","0,037696","0","3,02","0,44","0"
"Serial","0","500","0,091642","0,046875","6,61","4,36","0,51"
"Serial","0","1000","0,464862","0,4375","18,86","15,82","0,94"
"Serial","0","2000","3,597797","3,515625","64,94","61,69","0,98"
"OpenMP","4","100","0,039136","0","3,02","0,44","0"
"OpenMP","4","500","0,056573","0,0625","8,91","5,78","1,1"
"OpenMP","4","1000","0,178938","0,46875","23,89","20,13","2,62"
"OpenMP","4","2000","1,056642","3,75","81,19","77,48","3,55"
"OpenMP","8","100","0,039834","0","3,02","0,44","0"
"OpenMP","8","500","0,057444","0,125","8,9","5,91","2,18"
"OpenMP","8","1000","0,146524","0,703125","24,02","20,27","4,8"
"OpenMP","8","2000","0,767008","5,109375","81,09","77,71","6,66"
