"N","Run","Impl","ThreadsOrProcs","MultMs"
"100","1","Serial_O2","-","0,457"
"100","1","Threads_4","4h","1,019"
"100","1","Procesos_4","4p","15,179"
"100","2","Serial_O2","-","0,559"
"100","2","Threads_4","4h","0,936"
"100","2","Procesos_4","4p","15,187"
"100","3","Serial_O2","-","0,445"
"100","3","Threads_4","4h","1,099"
"100","3","Procesos_4","4p","14,827"
"100","4","Serial_O2","-","0,504"
"100","4","Threads_4","4h","0,952"
"100","4","Procesos_4","4p","15,217"
"100","5","Serial_O2","-","0,448"
"100","5","Threads_4","4h","1,188"
"100","5","Procesos_4","4p","13,99"
"100","6","Serial_O2","-","0,467"
"100","6","Threads_4","4h","0,926"
"100","6","Procesos_4","4p","15,314"
"100","7","Serial_O2","-","0,447"
"100","7","Threads_4","4h","0,946"
"100","7","Procesos_4","4p","16"
"100","8","Serial_O2","-","0,556"
"100","8","Threads_4","4h","0,856"
"100","8","Procesos_4","4p","14,882"
"100","9","Serial_O2","-","0,457"
"100","9","Threads_4","4h","0,87"
"100","9","Procesos_4","4p","15,186"
"100","10","Serial_O2","-","0,446"
"100","10","Threads_4","4h","1,224"
"100","10","Procesos_4","4p","14,724"
"500","1","Serial_O2","-","53,667"
"500","1","Threads_4","4h","17,414"
"500","1","Procesos_4","4p","28,733"
"500","2","Serial_O2","-","53,193"
"500","2","Threads_4","4h","15,155"
"500","2","Procesos_4","4p","31,654"
"500","3","Serial_O2","-","57,486"
"500","3","Threads_4","4h","14,974"
"500","3","Procesos_4","4p","28,99"
"500","4","Serial_O2","-","51,55"
"500","4","Threads_4","4h","15,126"
"500","4","Procesos_4","4p","29,835"
"500","5","Serial_O2","-","52,573"
"500","5","Threads_4","4h","15,653"
"500","5","Procesos_4","4p","28,429"
"500","6","Serial_O2","-","51,162"
"500","6","Threads_4","4h","14,669"
"500","6","Procesos_4","4p","29,069"
"500","7","Serial_O2","-","51,699"
"500","7","Threads_4","4h","14,992"
"500","7","Procesos_4","4p","34,461"
"500","8","Serial_O2","-","51,311"
"500","8","Threads_4","4h","15,231"
